"","first_last_court","first.name","last.name","first_last_court_eval.year","eval.year","court","pap","gender","asian","black","hispanic","white","judjis_score"
"1347","G Agee (4)","G","Agee","G Agee (4) 2013",2013,"Fourth Circuit",1,1,0,0,0,1,0.458333333333333
"1352","G Agee (4)","G","Agee","G Agee (4) 2016",2016,"Fourth Circuit",1,1,0,0,0,1,0.357142857142857
"169","Arthur Alarcón (9)","Arthur","Alarcón","Arthur Alarcón (9) 1990",1990,"Ninth Circuit",0,1,0,0,1,0,0.170833333333333
"170","Arthur Alarcón (9)","Arthur","Alarcón","Arthur Alarcón (9) 1994",1994,"Ninth Circuit",0,1,0,0,1,0,0.569444444444444
"171","Arthur Alarcón (9)","Arthur","Alarcón","Arthur Alarcón (9) 1998",1998,"Ninth Circuit",0,1,0,0,1,0,0.28125
"172","Arthur Alarcón (9)","Arthur","Alarcón","Arthur Alarcón (9) 2001",2001,"Ninth Circuit",0,1,0,0,1,0,0.166666666666667
"173","Arthur Alarcón (9)","Arthur","Alarcón","Arthur Alarcón (9) 2005",2005,"Ninth Circuit",0,1,0,0,1,0,0.333333333333333
"175","Arthur Alarcón (9)","Arthur","Alarcón","Arthur Alarcón (9) 2009",2009,"Ninth Circuit",0,1,0,0,1,0,0.321428571428571
"177","Arthur Alarcón (9)","Arthur","Alarcón","Arthur Alarcón (9) 2014",2014,"Ninth Circuit",0,1,0,0,1,0,0.103703703703704
"912","Ruggero Aldisert (3)","Ruggero","Aldisert","Ruggero Aldisert (3) 1990",1990,"Third Circuit",0,1,0,0,0,1,-0.666666666666667
"914","Ruggero Aldisert (3)","Ruggero","Aldisert","Ruggero Aldisert (3) 1993",1993,"Third Circuit",0,1,0,0,0,1,-0.444444444466667
"916","Ruggero Aldisert (3)","Ruggero","Aldisert","Ruggero Aldisert (3) 1997",1997,"Third Circuit",0,1,0,0,0,1,0.00925925927777775
"917","Ruggero Aldisert (3)","Ruggero","Aldisert","Ruggero Aldisert (3) 2000",2000,"Third Circuit",0,1,0,0,0,1,0.0555555555555555
"918","Ruggero Aldisert (3)","Ruggero","Aldisert","Ruggero Aldisert (3) 2004",2004,"Third Circuit",0,1,0,0,0,1,-0.238095238095238
"920","Ruggero Aldisert (3)","Ruggero","Aldisert","Ruggero Aldisert (3) 2006",2006,"Third Circuit",0,1,0,0,0,1,-0.166666666666667
"1257","Bailey Aldrich (1)","Bailey","Aldrich","Bailey Aldrich (1) 1990",1990,"First Circuit",1,1,0,0,0,1,0.333333333333333
"1261","Bailey Aldrich (1)","Bailey","Aldrich","Bailey Aldrich (1) 1993",1993,"First Circuit",1,1,0,0,0,1,0.222222222222222
"1263","Bailey Aldrich (1)","Bailey","Aldrich","Bailey Aldrich (1) 1996",1996,"First Circuit",1,1,0,0,0,1,0.25
"1269","Bailey Aldrich (1)","Bailey","Aldrich","Bailey Aldrich (1) 1997",1997,"First Circuit",1,1,0,0,0,1,0.611111111166667
"1270","Bailey Aldrich (1)","Bailey","Aldrich","Bailey Aldrich (1) 1998",1998,"First Circuit",1,1,0,0,0,1,0.293650793666667
"1780","Samuel Alito, Jr. (3)","Samuel","Alito, Jr.","Samuel Alito, Jr. (3) 1993",1993,"Third Circuit",1,1,0,0,0,1,1
"1792","Samuel Alito, Jr. (3)","Samuel","Alito, Jr.","Samuel Alito, Jr. (3) 1997",1997,"Third Circuit",1,1,0,0,0,1,0.452380952380952
"1805","Samuel Alito, Jr. (3)","Samuel","Alito, Jr.","Samuel Alito, Jr. (3) 2000",2000,"Third Circuit",1,1,0,0,0,1,0.736111111083333
"1815","Samuel Alito, Jr. (3)","Samuel","Alito, Jr.","Samuel Alito, Jr. (3) 2004",2004,"Third Circuit",1,1,0,0,0,1,0.64197530862963
"1465","Frank Altimari (2)","Frank","Altimari","Frank Altimari (2) 1990",1990,"Second Circuit",1,1,0,0,0,1,0.333333333333333
"1484","Frank Altimari (2)","Frank","Altimari","Frank Altimari (2) 1996",1996,"Second Circuit",1,1,0,0,0,1,0.0476190476190476
"1495","Frank Altimari (2)","Frank","Altimari","Frank Altimari (2) 1998",1998,"Second Circuit",1,1,0,0,0,1,0.0476190476190476
"919","Thomas Ambro (3)","Thomas","Ambro","Thomas Ambro (3) 2004",2004,"Third Circuit",0,1,0,0,0,1,0
"921","Thomas Ambro (3)","Thomas","Ambro","Thomas Ambro (3) 2006",2006,"Third Circuit",0,1,0,0,0,1,-0.121212121212121
"922","Thomas Ambro (3)","Thomas","Ambro","Thomas Ambro (3) 2010",2010,"Third Circuit",0,1,0,0,0,1,-0.0833333333333333
"923","Thomas Ambro (3)","Thomas","Ambro","Thomas Ambro (3) 2013",2013,"Third Circuit",0,1,0,0,0,1,0
