"","name","circuit","jcs"
"1","Abudu, Nancy",11,-0.422999978065491
"2","Adams, Arlin M.",3,0.0954999998211861
"3","Agee, G. Steven",4,0.261999994516373
"4","Ainsworth, Robert",5,-0.134499996900558
"5","Alarcon, Arthur L.",9,-0.386999994516373
"6","Aldisert, Ruggero",3,-0.575999975204468
"7","Aldrich, Bailey",1,0.174999997019768
"8","Alito, Samuel A., Jr.",3,0.556999981403351
"9","Allen, Florence",6,-0.241999998688698
"10","Altimari, Frank X.",2,0.181999996304512
"11","Ambro, Thomas",3,-0.314000010490417
"12","Anderson, J. Blaine",9,0.492000013589859
"13","Anderson, R. Lanier, III",5,-0.118000000715256
"14","Anderson, R. Lanier, III",11,-0.118000000715256
"15","Anderson, Robert P.",2,-0.264499992132187
"16","Anderson, Stephen H.",10,0.438499987125397
"17","Araújo Kahn, Maria",2,-0.354000002145767
"18","Arnold, Morris S.",8,0.381000012159348
"19","Arnold, Richard S.",8,-0.342000007629395
"20","Bacharach, Robert",10,-0.358000010251999
"21","Bade, Bridget Shelton",9,0.344999998807907
"22","Baldock, Bobby R.",10,0.256999999284744
"23","Barkett, Rosemary",11,-0.231000006198883
"24","Barksdale, Rhesa H.",5,0.338499993085861
"25","Barnes, Stanley",9,0.162499994039536
"26","Barrett, James E.",10,0.488999992609024
"27","Barron, David",1,-0.519500017166138
"28","Barry, Maryanne",3,-0.321999996900558
"29","Bastian, Walter M.",12,0.28099998831749
"30","Batchelder, Alice M.",6,0.556999981403351
"31","Bauer, William J.",7,0.0989999994635582
"32","Bazelon, David",12,-0.374000012874603
"33","Bea, Carlos",9,0.693000018596649
"34","Beam, Clarence A.",8,0.344999998807907
"35","Becker, Edward R.",3,0.0729999989271164
"36","Beezer, Robert R.",9,0.254999995231628
"37","Bell, Griffin",5,-0.0429999977350235
"38","Bell, Jesse S.",4,-0.06700000166893
"39","Benavides, Fortunato Pedro",5,-0.116999998688698
"40","Benjamin, DeAndrea",4,-0.319999992847443
"41","Bennett, Mark",9,0.402999997138977
"42","Benton, William",8,0.337000012397766
"43","Berzon, Marsha",9,-0.358999997377396
"44","Bianco, Joseph",2,0.402999997138977
"45","Bibas, Stephanos",3,0.624000012874603
"46","Biggs, John Jr.",3,-0.611000001430511
"47","Birch, Stanley F., Jr.",11,0.556999981403351
"48","Black, Susan H.",11,0.465999990701675
"49","Blackmun, Harry Andrew",8,0.28099998831749
"50","Bloomekatz, Rachel",6,-0.425999999046326
"51","Boggs, Danny J.",6,0.404000014066696
"52","Bone, Homer",9,-0.268333315849304
"53","Boochever, Robert",9,-0.284000009298325
"54","Borah, Wayne G.",5,-0.134499996900558
"55","Boreman, Herbert S.",4,0.28099998831749
"56","Bork, Robert",12,0.691999971866608
"57","Boudin, Michael",1,0.556999981403351
"58","Bowman, Pasco M.",8,0.195999994874001
"59","Bownes, Hugh",1,-0.354499995708466
"60","Branch, Elizabeth",11,0.48199999332428
"61","Brasher, Andrew",11,0.446000009775162
"62","Bratton, Sam Gilbert",10,-0.204499989748001
"63","Breitenstein, Jean",10,0.30799999833107
"64","Brennan, Michael",7,0.635999977588654
"65","Bress, Daniel",9,0.402999997138977
"66","Breyer, Stephen G.",1,-0.412999987602234
"67","Bright, Myron",8,-0.370999991893768
"68","Briscoe, Mary",10,-0.437999993562698
"69","Brooks, Henry L.",6,0.103000000119209
"70","Brorby, Wade",10,0.448499977588654
"71","Brown, Bailey",6,-0.354999989271164
"72","Brown, Janice Rogers",12,0.693000018596649
"73","Brown, John R.",5,0.28099998831749
"74","Browning, James Robert",9,-0.461000025272369
"75","Brunetti, Melvin T.",9,0.490500003099442
"76","Bryan, Albert V., I",4,0.133000001311302
"77","Bryson, William C.",13,-0.437999993562698
"78","Buckley, James L.",12,0.691999971866608
"79","Bumatay, Patrick",9,0.402999997138977
"80","Burger, Warren Earl",12,0.28099998831749
"81","Bush, John",6,0.647499978542328
"82","Butzner, John",4,-0.0470000021159649
"83","Bybee, Jay",9,0.693000018596649
"84","Bye, Kermit",8,-0.281499981880188
"85","Cabranes, Jose Alberto",2,-0.266499996185303
"86","Calabresi, Guido",2,-0.266499996185303
"87","Callahan, Consuelo",9,0.693000018596649
"88","Cameron, Benjamin",5,0.28099998831749
"89","Campbell, Levin H.",1,-0.100000001490116
"90","Canby, William C.",9,-0.216000005602837
"91","Cardamone, Richard J.",2,0.181999996304512
"92","Carnes, Edward E.",11,0.556999981403351
"93","Carnes, Julie",11,-0.358000010251999
"94","Carney, Susan",2,-0.351999998092651
"95","Carrillo Ramirez, Irma",5,-0.319999992847443
"96","Carson, Joel",10,0.402999997138977
"97","Carswell, George H.",5,0.305999994277954
"98","Carter, James M.",9,-0.337000012397766
"99","Castle, Latham",7,0.31700000166893
"100","Cecil, Lester L.",6,0.28099998831749
"101","Celebrezze, Anthony",6,-0.0690000057220459
"102","Chagares, Michael",3,0.693000018596649
"103","Chambers, Richard H.",9,0.640999972820282
"104","Chapman, Robert F.",4,0.391000002622604
"105","Chase, Harrie B.",2,0.513000011444092
"106","Chen, Raymond",13,-0.358000010251999
"107","Chertoff, Michael",3,0.693000018596649
"108","Childs, J. Michelle",12,-0.319999992847443
"109","Chin, Denny",2,-0.397000014781952
"110","Choy, Herbert Y.",9,0.165000006556511
"111","Christen, Morgan",9,-0.234999999403954
"112","Chung, Cindy",3,-0.3125
"113","Clark, Bennett C.",12,-0.368000000715256
"114","Clark, Charles",5,0.551999986171722
"115","Clark, Charles Edward",2,-0.156000003218651
"116","Clark, Thomas A.",5,-0.19650000333786
"117","Clark, Thomas A.",11,-0.19650000333786
"118","Clay, Eric",6,-0.395000010728836
"119","Clayton, Claude",5,-0.0160000007599592
"120","Clement, Edith Brown",5,0.693000018596649
"121","Clevenger, Raymond C.",13,0.556999981403351
"122","Clifton, Richard R.",9,0.693000018596649
"123","Coffey, John L.",7,0.261000007390976
"124","Coffin, Frank",1,-0.379000008106232
"125","Cole, Ransey Guy",6,-0.261999994516373
"126","Coleman, James P.",5,-0.0160000007599592
"127","Collet, John",8,-0.374000012874603
"128","Collins, Daniel",9,0.402999997138977
"129","Colloton, Steven",8,0.358000010251999
"130","Combs, Bert T.",6,-0.337000012397766
"131","Coney Barrett, Amy",7,0.444999992847443
"132","Contie, Leroy J.",6,0.691999971866608
"133","Cook, Deborah",6,0.263999998569489
"134","Costa, Gregg",5,-0.358000010251999
"135","Cowen, Robert E.",3,0.691999971866608
"136","Cox, Emmett R.",11,0.691999971866608
"137","Craven, James",4,-0.06700000166893
"138","Cudahy, Richard D.",7,-0.333000004291534
"139","Cummings, Walter",7,-0.5799999833107
"140","Cunningham, Tiffany",13,-0.319999992847443
"141","Cyr, Conrad F.",1,0.100000001490116
"142","Danaher, John A.",12,0.28099998831749
"143","Daughtrey, Martha Craig",6,-0.33950001001358
"144","Davis, Andre",4,-0.344999998807907
"145","Davis, Stephanie",6,-0.29449999332428
"146","Davis, W. Eugene",5,0.691999971866608
"147","DeMoss, Harold R., Jr.",5,0.550999999046326
"148","Denman, William",9,-0.179000005125999
"149","Dennis, James",5,-0.157499998807907
"150","Desai, Roopali",9,-0.158500000834465
